length
30
17
19
22
19
22
24
23
23
19
22
22
19
22
19
22
22
22
24
22
20
19
23
21
22
23
21
22
21
22
23
24
21
17
22
20
22
22
25
23
25
20
23
23
20
28
20
20
22
21
24
23
22
25
22
22
21
22
23
20
19
20
20
23
23
24
24
21
24
24
20
24
22
20
22
23
23
21
20
24
28
21
25
24
20
20
22
21
21
20
22
21
21
18
22
22
23
19
24
24
20
21
23
18
18
19
20
19
24
20
23
20
20
21
23
20
22
21
22
24
20
21
21
21
22
24
23
21
22
21
24
25
21
20
23
21
20
24
20
24
22
22
22
22
20
22
22
23
20
19
24
22
21
21
21
19
24
26
23
29
21
21
21
21
24
23
24
22
22
21
20
24
